classification_system,code,code_clean,description,source
SNOMED-CT,93143009,93143009,"Leukemia, disease (disorder)",https://phinvads.cdc.gov/vads/ViewCodeSystemConcept.action?oid=2.16.840.1.113883.6.96&code=93143009
icd-10-mc,C90.10,C9010,Plasma cell leukemia not having achieved remission,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C90.11,C9011,Plasma cell leukemia in remission,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C90.12,C9012,Plasma cell leukemia in relapse,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C91.00,C9100,Acute lymphoblastic leukemia not having achieved remission,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C91.01,C9101,"Acute lymphoblastic leukemia, in remission",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C91.02,C9102,"Acute lymphoblastic leukemia, in relapse",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C91.10,C9110,Chronic lymphocytic leukemia of B-cell type not having achieved remission,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C91.11,C9111,Chronic lymphocytic leukemia of B-cell type in remission,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C91.12,C9112,Chronic lymphocytic leukemia of B-cell type in relapse,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C91.30,C9130,Prolymphocytic leukemia of B-cell type not having achieved remission,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C91.31,C9131,"Prolymphocytic leukemia of B-cell type, in remission",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C91.32,C9132,"Prolymphocytic leukemia of B-cell type, in relapse",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C91.40,C9140,Hairy cell leukemia not having achieved remission,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C91.41,C9141,"Hairy cell leukemia, in remission",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C91.42,C9142,"Hairy cell leukemia, in relapse",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C91.50,C9150,Adult T-cell lymphoma/leukemia (HTLV-1-associated) not having achieved remission,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C91.51,C9151,"Adult T-cell lymphoma/leukemia (HTLV-1-associated), in remission",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C91.52,C9152,"Adult T-cell lymphoma/leukemia (HTLV-1-associated), in relapse",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C91.60,C9160,Prolymphocytic leukemia of T-cell type not having achieved remission,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
