classification_system,code,code_clean,description,source
snomed-ct,328383001,328383001,Chronic liver disease (disorder),https://snomedbrowser.com/Codes/Details/328383001
snomed-ct,19943007,19943007,Cirrhosis of liver (disorder),
snomed-ct,41309000,41309000,Alcoholic liver damage (disorder),https://snomedbrowser.com/Codes/Details/41309000
snomed-ct,197352008,197352008,Toxic hepatitis (disorder),https://snomedbrowser.com/Codes/Details/197352008
snomed-ct,91109007,91109007,Gastric varices (disorder),https://browser.ihtsdotools.org/?perspective=full&conceptId1=91109007&edition=MAIN&release=&languages=en
snomed-ct,28670008,28670008,Esophageal varices (disorder),https://snomedbrowser.com/Codes/Details/28670008
snomed-ct,59927004,59927004,Hepatic failure (disorder),https://snomedbrowser.com/Codes/Details/59927004
snomed-ct,62484002,62484002,Hepatic fibrosis (disorder),https://snomedbrowser.com/Codes/Details/62484002
snomed-ct,197441003,197441003,Primary sclerosing cholangitis (disorder),
snomed-ct,420054005,420054005,Alcoholic cirrhosis (disorder),https://www.sciencedirect.com/science/article/pii/S2589537020304326
icd-10-mc,K70.0,K700,Alcoholic fatty liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5541611/
icd-10-mc,K70.1,K701,Alcoholic hepatitis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5541611/
icd-10-mc,K70.2,K702,Alcoholic fibrosis and sclerosis of liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5541611/
icd-10-mc,K70.3,K703,Alcoholic cirrhosis of liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5541611/
icd-10-mc,K70.4,K704,Alcoholic hepatic failure,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5541611/
icd-10-mc,K70.9,K709,"Alcoholic liver disease, unspecified",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5541611/
icd-10-mc,K71.0,K710,Toxic liver disease with cholestasis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5541611/
icd-10-mc,K71.1,K711,Toxic liver disease with hepatic necrosis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5541611/
icd-10-mc,K71.2,K712,Toxic liver disease with acute hepatitis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5541611/
icd-10-mc,K71.3,K713,Toxic liver disease with chronic persistent hepatitis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5541611/
icd-10-mc,K71.4,K714,Toxic liver disease with chronic lobular hepatitis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5541611/
icd-10-mc,K71.5,K715,Toxic liver disease with chronic active hepatitis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5541611/
