classification_system,code,code_clean,description,source
SNOMED-CT,13645005,13645005,Chronic obstructive pulmonary disease (COPD),https://bmchealthservres.biomedcentral.com/articles/10.1186/1472-6963-11-37
icd-10-mc,J41.0,J410,Simple chronic bronchitis,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J41.1,J411,Mucopurulent chronic bronchitis,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J41.8,J418,Mixed simple and mucopurulent chronic bronchitis,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J42,J42,Unspecified chronic bronchitis,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J43.0,J430,Unilateral pulmonary emphysema [MacLeod's syndrome],https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J43.1,J431,Panlobular emphysema,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J43.2,J432,Centrilobular emphysema,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J43.8,J438,Other emphysema,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J43.9,J439,"Emphysema, unspecified",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J44.0,J440,Chronic obstructive pulmonary disease with (acute) lower respiratory infection,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J44.1,J441,Chronic obstructive pulmonary disease with (acute) exacerbation,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J44.9,J449,"Chronic obstructive pulmonary disease, unspecified",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J45.20,J4520,"Mild intermittent asthma, uncomplicated",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J45.21,J4521,Mild intermittent asthma with (acute) exacerbation,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J45.22,J4522,Mild intermittent asthma with status asthmaticus,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J45.30,J4530,"Mild persistent asthma, uncomplicated",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J45.31,J4531,Mild persistent asthma with (acute) exacerbation,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J45.32,J4532,Mild persistent asthma with status asthmaticus,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J45.40,J4540,"Moderate persistent asthma, uncomplicated",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J45.41,J4541,Moderate persistent asthma with (acute) exacerbation,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J45.42,J4542,Moderate persistent asthma with status asthmaticus,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J45.50,J4550,"Severe persistent asthma, uncomplicated",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J45.51,J4551,Severe persistent asthma with (acute) exacerbation,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J45.52,J4552,Severe persistent asthma with status asthmaticus,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,J45.901,J45901,Unspecified asthma with (acute) exacerbation,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
