classification_system,code,code_clean,description,source
snomed-ct,84114007,84114007,Heart failure,https://www.ncbi.nlm.nih.gov/medgen/6749
icd-10-mc,I09.81,I0981,Rheumatic heart failure,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I11.0,I110,Hypertensive heart disease with heart failure,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I13.0,I130,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I13.2,I132,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I50.1,I501,"Left ventricular failure, unspecified",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I50.20,I5020,Unspecified systolic (congestive) heart failure,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I50.21,I5021,Acute systolic (congestive) heart failure,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I50.22,I5022,Chronic systolic (congestive) heart failure,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I50.23,I5023,Acute on chronic systolic (congestive) heart failure,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I50.30,I5030,Unspecified diastolic (congestive) heart failure,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I50.31,I5031,Acute diastolic (congestive) heart failure,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I50.32,I5032,Chronic diastolic (congestive) heart failure,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I50.33,I5033,Acute on chronic diastolic (congestive) heart failure,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I50.40,I5040,Unspecified combined systolic (congestive) and diastolic (congestive) heart failure,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I50.41,I5041,Acute combined systolic (congestive) and diastolic (congestive) heart failure,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I50.42,I5042,Chronic combined systolic (congestive) and diastolic (congestive) heart failure,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I50.43,I5043,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
