classification_system,code,code_clean,description,source
snomed-ct,86406008,86406008,Human immunodeficiency virus infection,https://bioportal.bioontology.org/ontologies/SNOMEDCT?p=classes&conceptid=86406008
icd-10-mc,B20,B20,Human immunodeficiency virus [HIV] disease,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,B20.0,B200,HIV disease resulting in mycobacterial infection,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,B20.1,B201,HIV disease resulting in other bacterial infections,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,B20.2,B202,HIV disease resulting in cytomegaloviral disease,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,B20.3,B203,HIV disease resulting in other viral infections,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,B20.4,B204,HIV disease resulting in candidiasis,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,B20.5,B205,HIV disease resulting in other mycoses,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,B20.6,B206,HIV disease resulting in Pneumocystis jirovecii pneumonia,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,B20.7,B207,HIV disease resulting in multiple infections,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,B20.8,B208,HIV disease resulting in other infectious and parasitic diseases,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,B20.9,B209,HIV disease resulting in unspecified infectious or parasitic disease,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,B21,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,B21.0,B210,HIV disease resulting in Kaposi sarcoma,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,B21.1,B211,HIV disease resulting in Burkitt lymphoma,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,B21.2,B212,HIV disease resulting in other types of non-Hodgkin lymphoma,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
