classification_system,code,code_clean,description,source
snomed-ct,38341003,38341003,Hypertension,https://www.ncbi.nlm.nih.gov/medgen/6969
icd-10-mc,I10,I10,Essential (primary) hypertension,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I16.0,I160,Hypertensive urgency,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I16.9,I169,"Hypertensive crisis, unspecified",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,H35.031,H35031,"Hypertensive retinopathy, right eye",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,H35.032,H35032,"Hypertensive retinopathy, left eye",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,H35.033,H35033,"Hypertensive retinopathy, bilateral",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,H35.039,H35039,"Hypertensive retinopathy, unspecified eye",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I11.0,I110,Hypertensive heart disease with heart failure,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I11.9,I119,Hypertensive heart disease without heart failure,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I12.0,I120,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,I12.9,I129,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
