classification_system,code,code_clean,description,source,observations
snomed-ct,86553008,86553008,Immunosuppressive therapy,https://bioportal.bioontology.org/ontologies/SNOMEDCT?p=classes&conceptid=86553008,
icd-10-mc,Z92.25,Z9225,Personal history of immunosuppression therapy,"https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z77-Z99/Z92-/Z92.25#:~:text=Personal%20history%20of%20immunosuppression%20therapy,-2016%202017%202018&text=Code%20POA%20Exempt-,Z92.,effective%20on%20October%201%2C%202021.",
icd-09-mc,V87.46,V8746,Personal history of immunosuppressive therapy,"http://www.icd9data.com/2012/Volume1/V01-V91/V87-V87/V87/V87.46.htm#:~:text=2012%20ICD%2D9%2DCM%20Diagnosis,Personal%20history%20of%20immunosuppressive%20therapy",
atc,S01B,S01B,Anti-inflammatory agents,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BA,S01BA,"Corticosteroids, monodrugs",https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BA01,S01BA01,Dexamethasone,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BA02,S01BA02,Hydrocortisone,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BA03,S01BA03,Cortisone,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BA04,S01BA04,Prednisolone,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BA05,S01BA05,Triamcinolone,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BA06,S01BA06,Betamethasone,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BA07,S01BA07,Fluorometholone,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BA08,S01BA08,Medrisone,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BA09,S01BA09,Clobetasone,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BA10,S01BA10,Alclomethasone,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BA11,S01BA11,Desonide,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BA12,S01BA12,Formocortal,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BA13,S01BA13,Rimexolone,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BA14,S01BA14,Loteprednol,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BA15,S01BA15,Fluocinolone acetonide,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BB,S01BB,Corticosteroids and mydriatics in combination,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BB01,S01BB01,Hydrocortisone and mydriatics,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BB02,S01BB02,Prednisolone and mydriatics,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BB03,S01BB03,Fluorometholone and mydriatics,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BB04,S01BB04,Betamethasone and mydriatics,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BC,S01BC,Non-steroidal anti-inflammatory agents,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BC01,S01BC01,Indomethacin,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BC02,S01BC02,Oxyphenbutazone,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BC03,S01BC03,Diclofenac,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BC04,S01BC04,Flurbiprofen,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BC05,S01BC05,Ketorolac,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BC06,S01BC06,Pyroxicam,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BC07,S01BC07,Bendazac,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BC08,S01BC08,Salicylic acid,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BC09,S01BC09,Pranoprofen,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01BC10,S01BC10,Nepafenac,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01C,S01C,Anti-inflammatory and anti-infective agents in combination,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01CA,S01CA,Corticosteroids and anti-infectives in combination,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01CA01,S01CA01,Dexamethasone and anti-infectives,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01CA02,S01CA02,Prednisolone and anti-infectives,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01CA03,S01CA03,Hydrocortisone and anti-infectives,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01CA04,S01CA04,Fluocortolone and anti-infectives,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01CA05,S01CA05,Betamethasone and anti-infectives,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01CA06,S01CA06,Fludrocortisone and anti-infectives,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01CA07,S01CA07,Fluorometholone and anti-infectives,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01CA08,S01CA08,Methylprednisolone and anti-infectives,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01CA09,S01CA09,Chloroprednisone and anti-infectives,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01CA10,S01CA10,Fluocinolone acetonide and anti-infectives,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,S01CA11,S01CA11,Clobetasone and anti-infectives,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,H02A,H02A,"Corticosteroids for systemic use, monodrugs",https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,H02AA,H02AA,Mineralocorticoids,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
atc,H02AA01,H02AA01,Aldosterone,https://www.whocc.no/atc_ddd_index/,more than 6 months therapy duration
