classification_system,code,code_clean,description,source
snomed-ct,414916001,414916001,Obesity,https://www.ncbi.nlm.nih.gov/medgen/18127
snomed-ct,414915002,414915002,Obesity,https://www.ncbi.nlm.nih.gov/medgen/18127
icd-10-mc,E66.01,E6601,Morbid (severe) obesity due to excess calories,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,E66.09,E6609,Other obesity due to excess calories,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,E66.1,E661,Drug-induced obesity,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,E66.2,E662,Morbid (severe) obesity with alveolar hypoventilation,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,E66.8,E668,Other obesity,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,E66.9,E669,"Obesity, unspecified",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,R93.9,R939,Diagnostic imaging inconclusive due to excess body fat of patient,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,Z68.30,Z6830,"Body mass index [BMI] 30.0-30.9, adult",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,Z68.31,Z6831,"Body mass index [BMI] 31.0-31.9, adult",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,Z68.32,Z6832,"Body mass index [BMI] 32.0-32.9, adult",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,Z68.33,Z6833,"Body mass index [BMI] 33.0-33.9, adult",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,Z68.34,Z6834,"Body mass index [BMI] 34.0-34.9, adult",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,Z68.35,Z6835,"Body mass index [BMI] 35.0-35.9, adult",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,Z68.36,Z6836,"Body mass index [BMI] 36.0-36.9, adult",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,Z68.37,Z6837,"Body mass index [BMI] 37.0-37.9, adult",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,Z68.38,Z6838,"Body mass index [BMI] 38.0-38.9, adult",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,Z68.39,Z6839,"Body mass index [BMI] 39.0-39.9, adult",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,Z68.41,Z6841,"Body mass index [BMI] 40.0-44.9, adult",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,Z68.42,Z6842,"Body mass index [BMI] 45.0-49.9, adult",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,Z68.43,Z6843,"Body mass index [BMI] 50.0-59.9, adult",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,Z68.44,Z6844,"Body mass index [BMI] 60.0-69.9, adult",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,Z68.45,Z6845,"Body mass index [BMI] 70 or greater, adult",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,Z68.54,Z6854,"Body mass index [BMI] pediatric, greater than or equal to 95th percentile for age",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-09-mc,278.00,27800,unspecified obesity,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-09-mc,278.01,27801,morbid obesity,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-09-mc,278.03,27803,hypoventilation syndrome and obesity,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-09-mc,649.10,64910,"obesity complicating e/p/p/p, unspecified with respect to epi. of care",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
