classification_system,code,code_clean,description,source,observations
snomed-ct,77386006,77386006,Pregnant,https://snomedbrowser.com/Codes/Details/77386006,
icd-10-mc,O00,O00,"pregnancy, childbirth and puerperium",,
icd-10-mc,O01,O01,"pregnancy, childbirth and puerperium",,
icd-10-mc,O02,O02,"pregnancy, childbirth and puerperium",,
icd-10-mc,O03,O03,"pregnancy, childbirth and puerperium",,
icd-10-mc,O04,O04,"pregnancy, childbirth and puerperium",,
icd-10-mc,O07,O07,"pregnancy, childbirth and puerperium",,
icd-10-mc,O08,O08,"pregnancy, childbirth and puerperium",,
icd-10-mc,O09,O09,"pregnancy, childbirth and puerperium",,
icd-10-mc,O10,O10,"pregnancy, childbirth and puerperium",,
icd-10-mc,O11,O11,"pregnancy, childbirth and puerperium",,
icd-10-mc,O12,O12,"pregnancy, childbirth and puerperium",,
icd-10-mc,O13,O13,"pregnancy, childbirth and puerperium",,
icd-10-mc,O14,O14,"pregnancy, childbirth and puerperium",,
icd-10-mc,O15,O15,"pregnancy, childbirth and puerperium",,
icd-10-mc,O16,O16,"pregnancy, childbirth and puerperium",,
icd-10-mc,O20,O20,"pregnancy, childbirth and puerperium",,
icd-10-mc,O21,O21,"pregnancy, childbirth and puerperium",,
icd-10-mc,O22,O22,"pregnancy, childbirth and puerperium",,
icd-10-mc,O23,O23,"pregnancy, childbirth and puerperium",,
icd-10-mc,O24,O24,"pregnancy, childbirth and puerperium",,
icd-10-mc,O25,O25,"pregnancy, childbirth and puerperium",,
icd-10-mc,O26,O26,"pregnancy, childbirth and puerperium",,
icd-10-mc,O28,O28,"pregnancy, childbirth and puerperium",,
icd-10-mc,O29,O29,"pregnancy, childbirth and puerperium",,
icd-10-mc,O30,O30,"pregnancy, childbirth and puerperium",,
icd-10-mc,O31,O31,"pregnancy, childbirth and puerperium",,
icd-10-mc,O32,O32,"pregnancy, childbirth and puerperium",,
icd-10-mc,O33,O33,"pregnancy, childbirth and puerperium",,
icd-10-mc,O34,O34,"pregnancy, childbirth and puerperium",,
icd-10-mc,O35,O35,"pregnancy, childbirth and puerperium",,
icd-10-mc,O36,O36,"pregnancy, childbirth and puerperium",,
icd-10-mc,O40,O40,"pregnancy, childbirth and puerperium",,
icd-10-mc,O41,O41,"pregnancy, childbirth and puerperium",,
icd-10-mc,O42,O42,"pregnancy, childbirth and puerperium",,
icd-10-mc,O43,O43,"pregnancy, childbirth and puerperium",,
icd-10-mc,O44,O44,"pregnancy, childbirth and puerperium",,
icd-10-mc,O45,O45,"pregnancy, childbirth and puerperium",,
icd-10-mc,O46,O46,"pregnancy, childbirth and puerperium",,
icd-10-mc,O47,O47,"pregnancy, childbirth and puerperium",,
icd-10-mc,O48,O48,"pregnancy, childbirth and puerperium",,
icd-10-mc,O60,O60,"pregnancy, childbirth and puerperium",,
icd-10-mc,O61,O61,"pregnancy, childbirth and puerperium",,
icd-10-mc,O62,O62,"pregnancy, childbirth and puerperium",,
icd-10-mc,O63,O63,"pregnancy, childbirth and puerperium",,
icd-10-mc,O64,O64,"pregnancy, childbirth and puerperium",,
icd-10-mc,O65,O65,"pregnancy, childbirth and puerperium",,
icd-10-mc,O66,O66,"pregnancy, childbirth and puerperium",,
icd-10-mc,O67,O67,"pregnancy, childbirth and puerperium",,
icd-10-mc,O68,O68,"pregnancy, childbirth and puerperium",,
icd-10-mc,O69,O69,"pregnancy, childbirth and puerperium",,
icd-10-mc,O70,O70,"pregnancy, childbirth and puerperium",,
icd-10-mc,O71,O71,"pregnancy, childbirth and puerperium",,
icd-10-mc,O72,O72,"pregnancy, childbirth and puerperium",,
icd-10-mc,O73,O73,"pregnancy, childbirth and puerperium",,
icd-10-mc,O74,O74,"pregnancy, childbirth and puerperium",,
icd-10-mc,O75,O75,"pregnancy, childbirth and puerperium",,
icd-10-mc,O76,O76,"pregnancy, childbirth and puerperium",,
icd-10-mc,O77,O77,"pregnancy, childbirth and puerperium",,
icd-10-mc,O80,O80,"pregnancy, childbirth and puerperium",,
icd-10-mc,O82,O82,"pregnancy, childbirth and puerperium",,
icd-10-mc,O85,O85,"pregnancy, childbirth and puerperium",,
icd-10-mc,O86,O86,"pregnancy, childbirth and puerperium",,
icd-10-mc,O87,O87,"pregnancy, childbirth and puerperium",,
icd-10-mc,O88,O88,"pregnancy, childbirth and puerperium",,
icd-10-mc,O89,O89,"pregnancy, childbirth and puerperium",,
icd-10-mc,O90,O90,"pregnancy, childbirth and puerperium",,
icd-10-mc,O91,O91,"pregnancy, childbirth and puerperium",,
icd-10-mc,O92,O92,"pregnancy, childbirth and puerperium",,
icd-10-mc,O94,O94,"pregnancy, childbirth and puerperium",,
icd-10-mc,O98,O98,"pregnancy, childbirth and puerperium",,
icd-10-mc,O99,O99,"pregnancy, childbirth and puerperium",,
icd-10-mc,O9A,O9A,"pregnancy, childbirth and puerperium",,
icd-10-mc,O00.0,O000,"pregnancy, childbirth and puerperium",,
icd-10-mc,O00.1,O001,"pregnancy, childbirth and puerperium",,
icd-10-mc,O00.2,O002,"pregnancy, childbirth and puerperium",,
icd-10-mc,O00.8,O008,"pregnancy, childbirth and puerperium",,
icd-10-mc,O00.9,O009,"pregnancy, childbirth and puerperium",,
icd-10-mc,O01.0,O010,"pregnancy, childbirth and puerperium",,
icd-10-mc,O01.1,O011,"pregnancy, childbirth and puerperium",,
icd-10-mc,O01.9,O019,"pregnancy, childbirth and puerperium",,
icd-10-mc,O02.0,O020,"pregnancy, childbirth and puerperium",,
icd-10-mc,O02.1,O021,"pregnancy, childbirth and puerperium",,
icd-10-mc,O02.8,O028,"pregnancy, childbirth and puerperium",,
icd-10-mc,O02.9,O029,"pregnancy, childbirth and puerperium",,
