classification_system,code,code_clean,description,source
snomed-ct,58606001,58606001,Primary immunodeficiency,https://snomedbrowser.com/Codes/Details/58606001
icd-10-mc,C81.00,C8100,"Nodular lymphocyte predominant Hodgkin lymphoma, unspecified site",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.01,C8101,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of head, face, and neck",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.02,C8102,"Nodular lymphocyte predominant Hodgkin lymphoma, intrathoracic lymph nodes",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.03,C8103,"Nodular lymphocyte predominant Hodgkin lymphoma, intra-abdominal lymph nodes",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.04,C8104,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of axilla and upper limb",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.05,C8105,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.06,C8106,"Nodular lymphocyte predominant Hodgkin lymphoma, intrapelvic lymph nodes",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.07,C8107,"Nodular lymphocyte predominant Hodgkin lymphoma, spleen",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.08,C8108,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of multiple sites",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.09,C8109,"Nodular lymphocyte predominant Hodgkin lymphoma, extranodal and solid organ sites",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.10,C8110,"Nodular sclerosis Hodgkin lymphoma, unspecified site",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.11,C8111,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of head, face, and neck",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.12,C8112,"Nodular sclerosis Hodgkin lymphoma, intrathoracic lymph nodes",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.13,C8113,"Nodular sclerosis Hodgkin lymphoma, intra-abdominal lymph nodes",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.14,C8114,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of axilla and upper limb",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.15,C8115,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.16,C8116,"Nodular sclerosis Hodgkin lymphoma, intrapelvic lymph nodes",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.17,C8117,"Nodular sclerosis Hodgkin lymphoma, spleen",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.18,C8118,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of multiple sites",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.19,C8119,"Nodular sclerosis Hodgkin lymphoma, extranodal and solid organ sites",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.20,C8120,"Mixed cellularity Hodgkin lymphoma, unspecified site",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.21,C8121,"Mixed cellularity Hodgkin lymphoma, lymph nodes of head, face, and neck",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.22,C8122,"Mixed cellularity Hodgkin lymphoma, intrathoracic lymph nodes",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.23,C8123,"Mixed cellularity Hodgkin lymphoma, intra-abdominal lymph nodes",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.24,C8124,"Mixed cellularity Hodgkin lymphoma, lymph nodes of axilla and upper limb",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.25,C8125,"Mixed cellularity Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.26,C8126,"Mixed cellularity Hodgkin lymphoma, intrapelvic lymph nodes",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.27,C8127,"Mixed cellularity Hodgkin lymphoma, spleen",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.28,C8128,"Mixed cellularity Hodgkin lymphoma, lymph nodes of multiple sites",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.29,C8129,"Mixed cellularity Hodgkin lymphoma, extranodal and solid organ sites",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.30,C8130,"Lymphocyte depleted Hodgkin lymphoma, unspecified site",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.31,C8131,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of head, face, and neck",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.32,C8132,"Lymphocyte depleted Hodgkin lymphoma, intrathoracic lymph nodes",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.33,C8133,"Lymphocyte depleted Hodgkin lymphoma, intra-abdominal lymph nodes",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.34,C8134,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of axilla and upper limb",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.35,C8135,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.36,C8136,"Lymphocyte depleted Hodgkin lymphoma, intrapelvic lymph nodes",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.37,C8137,"Lymphocyte depleted Hodgkin lymphoma, spleen",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.38,C8138,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of multiple sites",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.39,C8139,"Lymphocyte depleted Hodgkin lymphoma, extranodal and solid organ sites",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.40,C8140,"Lymphocyte-rich Hodgkin lymphoma, unspecified site",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.41,C8141,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of head, face, and neck",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.42,C8142,"Lymphocyte-rich Hodgkin lymphoma, intrathoracic lymph nodes",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.43,C8143,"Lymphocyte-rich Hodgkin lymphoma, intra-abdominal lymph nodes",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C81.44,C8144,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of axilla and upper limb",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
