classification_system,code,code_clean,description,source
snomed-ct,127040003,127040003,Sickle cell-hemoglobin SS disease (disorder),
icd-10-mc,D57,D57,Sickle cell disorders,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,D57.0,D570,Hb-SS disease with crisis,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,D57.00,D5700,"Hb-SS disease with crisis, unspecified",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,D57.01,D5701,Hb-SS disease with acute chest syndrome,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,D57.02,D5702,Hb-SS disease with splenic sequestration,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,D57.03,D5703,Hb-SS disease with cerebral vascular involvement,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,D57.09,D5709,"Hb-SS disease with crisis, with other specified complication",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,D57.1,D571,Sickle cell disease without crisis,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,D57.2,D572,Sickle cell disease/Hb-C,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,D57.20,D5720,Sickle cell disease/Hb-C without crises,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,D57.21,D5721,Sickle cell disease/Hb-C with crisis,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,D57.211,D57211,Sickle cell disease/Hb-C with acute chest syndrome,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,D57.212,D57212,Sickle cell disease/Hb-C with splenic sequestration,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
