classification_system,code,code_clean,description,source
snomed-ct,369757002,369757002,Solid tumor configuration,https://phinvads.cdc.gov/vads/http:/phinvads.cdc.gov/vads/ViewCodeSystemConcept.action?oid=2.16.840.1.113883.6.96&code=369757002
icd-10-mc,C00.0,C000,Malignant neoplasm of external upper lip,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C00.1,C001,Malignant neoplasm of external lower lip,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C00.2,C002,"Malignant neoplasm of external lip, unspecified",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C00.3,C003,"Malignant neoplasm of upper lip, inner aspect",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C00.4,C004,"Malignant neoplasm of lower lip, inner aspect",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C00.5,C005,"Malignant neoplasm of lip, unspecified, inner aspect",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C00.6,C006,"Malignant neoplasm of commissure of lip, unspecified",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C00.8,C008,Malignant neoplasm of overlapping sites of lip,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C00.9,C009,"Malignant neoplasm of lip, unspecified",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C01,C01,Malignant neoplasm of base of tongue,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C02.0,C020,Malignant neoplasm of dorsal surface of tongue,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C02.1,C021,Malignant neoplasm of border of tongue,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C02.2,C022,Malignant neoplasm of ventral surface of tongue,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C02.3,C023,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C02.4,C024,Malignant neoplasm of lingual tonsil,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C02.8,C028,Malignant neoplasm of overlapping sites of tongue,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C02.9,C029,"Malignant neoplasm of tongue, unspecified",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C03.0,C030,Malignant neoplasm of upper gum,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C03.1,C031,Malignant neoplasm of lower gum,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C03.9,C039,"Malignant neoplasm of gum, unspecified",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C04.0,C040,Malignant neoplasm of anterior floor of mouth,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C04.1,C041,Malignant neoplasm of lateral floor of mouth,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C04.8,C048,Malignant neoplasm of overlapping sites of floor of mouth,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C04.9,C049,"Malignant neoplasm of floor of mouth, unspecified",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C05.0,C050,Malignant neoplasm of hard palate,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C05.1,C051,Malignant neoplasm of soft palate,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C05.2,C052,Malignant neoplasm of uvula,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C05.8,C058,Malignant neoplasm of overlapping sites of palate,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C05.9,C059,"Malignant neoplasm of palate, unspecified",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C06.0,C060,Malignant neoplasm of cheek mucosa,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C06.1,C061,Malignant neoplasm of vestibule of mouth,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C06.2,C062,Malignant neoplasm of retromolar area,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C06.80,C0680,Malignant neoplasm of overlapping sites of unspecified parts of mouth,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C06.89,C0689,Malignant neoplasm of overlapping sites of other parts of mouth,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C06.9,C069,"Malignant neoplasm of mouth, unspecified",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C07,C07,Malignant neoplasm of parotid gland,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C08.0,C080,Malignant neoplasm of submandibular gland,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C08.1,C081,Malignant neoplasm of sublingual gland,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C08.9,C089,"Malignant neoplasm of major salivary gland, unspecified",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C09.0,C090,Malignant neoplasm of tonsillar fossa,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C09.1,C091,Malignant neoplasm of tonsillar pillar (anterior) (posterior),https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C09.8,C098,Malignant neoplasm of overlapping sites of tonsil,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C09.9,C099,"Malignant neoplasm of tonsil, unspecified",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C10.0,C100,Malignant neoplasm of vallecula,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C10.1,C101,Malignant neoplasm of anterior surface of epiglottis,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C10.2,C102,Malignant neoplasm of lateral wall of oropharynx,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C10.3,C103,Malignant neoplasm of posterior wall of oropharynx,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C10.4,C104,Malignant neoplasm of branchial cleft,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C10.8,C108,Malignant neoplasm of overlapping sites of oropharynx,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C10.9,C109,"Malignant neoplasm of oropharynx, unspecified",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C11.0,C110,Malignant neoplasm of superior wall of nasopharynx,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C11.1,C111,Malignant neoplasm of posterior wall of nasopharynx,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C11.2,C112,Malignant neoplasm of lateral wall of nasopharynx,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C11.3,C113,Malignant neoplasm of anterior wall of nasopharynx,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C11.8,C118,Malignant neoplasm of overlapping sites of nasopharynx,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C11.9,C119,"Malignant neoplasm of nasopharynx, unspecified",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C12,C12,Malignant neoplasm of pyriform sinus,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C13.0,C130,Malignant neoplasm of postcricoid region,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C13.1,C131,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C13.2,C132,Malignant neoplasm of posterior wall of hypopharynx,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C13.8,C138,Malignant neoplasm of overlapping sites of hypopharynx,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C13.9,C139,"Malignant neoplasm of hypopharynx, unspecified",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C14.0,C140,"Malignant neoplasm of pharynx, unspecified",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C14.2,C142,Malignant neoplasm of Waldeyer's ring,https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
icd-10-mc,C14.8,C148,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",https://www.hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp
