calendar_date_dt,residence_area_cd,residence_area_nuts2_cd,country_cd,socecon_lvl_area_nm,test_positivity_percentage_area_nm,cumulative_confirmed_cases_nm,variant_area_cd
2020-04-27,KgSdHYRzSOdFOTsElPxC,UbyhToFBCzsoaXDNHxLJ,gFqCgihMKHomgitpPOjR,1532,2680.61,1563,OLcxiqaLbJKCWHAkFJUW
2008-11-03,VcAJEuEGIHSrlAmfpdbp,GyeaFrtKYDAGNzbFyOeR,DaTsEOSzwqmTCsDxiQKA,7466,92155.7,110,gdycpdvwyabLUlxzXory
1997-10-27,FGGwOueeHssegxKgdDbr,wXdioktnOfLecQLjcPCA,UPnlgnmrBjoHNWkLVLNr,4026,71315.22,6904,BjKMxlEdxazPWmTuUxvb
1994-02-06,FFAXwsaVjiSlwGKItILu,ScxbuScJIUIYtMbCxFkz,lDIfAXTemukxFhiLOUiY,6781,6838.99,4948,FBEsgxGTdmHptGRTFWJR
1996-12-05,DnsXKTQGmiFEMdvTVHOO,yipwvAdEPhgvpBGgFZDc,xsovATxNEOuJKbBpTFjI,959,69520.61,2287,josPeBSglpUTQkbLINUh
2021-04-21,AkpyJuTJoZDtoWHcFGnP,YPLeSLmNfikWwJtvjvKC,eQwghnojWrHfwGjEHtEK,4728,35601.92,2860,lABkWZxqwersUqtrKSvb
2013-08-27,YeGspQvoLXiDkJSdDEGS,JXDIJRJadEKlxTxuFyTT,rpDZjJuZfhZQWhjCKIFC,2569,88756.91,91,yEabvGzcsRFPGpXEhjBr
1995-01-13,UmptWVlCUUgMiQnvnoeB,NGvtBxaqLGgBMVfzxlkC,xVSENnxDOFEuepsHvrmQ,7542,23714.88,7303,xcACcXBXnrivuPwUuxaM
2016-09-10,STJcHNtvGdhRpTjCOcmE,ZecrgczWMMpZnAbezqTN,kUwdUzzDdAosXvtPpypF,3598,24163.11,1076,pVRMYkGxYeWfAQRWNUBg
2017-06-05,yuQiFcfZgtfDeZhtFLJP,YUxeCBOaTBYBZiakUhJO,oDcRmkGidSUACPmmlHpu,5019,3115.36,3762,KzidmlmyPiXHqdVzNmjU
1996-09-13,GxdcKGutIzpXQiqbQOrs,xOMKLhQeZbsctqnYzRsJ,itfDADcyuibzxIVnVRib,9248,27516.2,8432,OLBXWAxBjvnqgceXuBNf
1997-03-12,NwNpvQKhuzcaSGKBCUEA,XhSJOSqdhVeJsybmIgWH,BNUbEnkXCRkWAZuEFyhL,8058,51461.19,4353,rfqVHXeTMXnCVkTNSnFt
2019-12-04,sTcdJbBlENuANmZIHdFr,DbrswtALhJDzJWWfpZCu,AaZVWvMXQBOoimvMkDmA,4475,4079.42,2295,gmTEUXOLgUvzrTYsISiZ
2005-11-29,SwZZxCqTkkoHvXbawaTT,HEZjSMTclDaQUwvkDBkD,tZrFrMGiQdRflCRwleYx,4817,58071.19,574,JyugKJeqVVCusPiYKfKS
2001-11-25,FvieUmEleaHutCjhffBT,GpSyACSuvonvRUXtYEyO,PRPCKqkkKgJAltyzjHdD,3484,29931.33,5453,GIXUAIIsprdWkdLHxqDl
1994-06-09,eUSkHNVkrEVdUCxlEVxL,KacXYINbBrdZaUBqZaPV,eYKzuYxgEDTJAZytquZh,4414,27531.66,6140,sxcjQzFhGSSwKdFjDpRp
1994-11-22,SGQIJZofAzXqfjPfvpSW,lKpAgKbRqqhptPkVrrwJ,lRGlpwROUcryMZckHtWg,8740,47937.48,9616,SXkbiLAMduViklkWuEGS
2020-09-06,AEoDCcMxOXcbeuutreoL,bjtwHKZCsqNLqwcYWkes,PKYHuFsvGjXupqwOgRIC,7984,53811.3,9379,HhkmCtjfSEatMhucQmee
1994-05-20,EWChUXsUUzBWwkHpnLPX,WTxbWnPzbKtKhFbeHrUq,tXpbAkDjXnfjFbkBOYCN,9402,76805.16,2845,kYxAMBxTHzVNyOjOxMgo
2005-08-15,QpOASQreEzzJPpvlBAHO,hrOZbRmqJSgVRYnLouEW,DaIYQXvnIiDLdTLGmGQr,3199,5192.86,5156,TrqqwzGxOLrLwaPBDPpu
2015-11-26,zzWWYmZCfReOVkIKpuNj,cnpzhgiVDjpQTockhVeO,sJrEoAaLyVhetMLIhYxj,8774,1208.83,2557,YZSkgaBLJCgImQUSvYnI
2015-01-19,LkmgTNokdGuLGihTzGiz,IdYSymYEYhpkzqfcaAan,pjLlXIrVHjZrDYYcRGZJ,8193,15984.37,8279,HLuAsCPWpBxAWkZlhrbW
2010-04-27,xrlfBJzTkFusIukXSiEw,bYpbDjBLmnjAvBxYzYWq,OwuttGGUuUtZVckgjRww,1785,26709.37,9769,rARwLLQWiqjuUcRDmUpd
2014-10-19,nComXeqLHXebznnfGfNr,oKzDjFYfxALhfhhUNNel,EaCOlvvrtlJlWJJqAwTt,842,67972.71,1732,QvIggWbJaAtHpCQyUsNh
2009-08-13,bpyDXwfiMKsDbWUKOFbr,izGVRMUiYjIwLAZIBFLt,TtqhtVdwAtiUinRoXcfL,7571,93887.79,8973,DQSqsotqXooWmMVBirjm
1998-11-25,iZmYITKTOeSMRsnJTsPe,ooiFXhxsrGxlaWpgtLCa,KlIMpCYOfWsFmYCizOPc,9650,84199.36,2216,HltlUtLuCcpgavxKdBCb
1996-12-13,mmVFeOyKsrDucYZJYLEe,DAkLseIVZjVVSBKIthuM,NXRXHRTGNAUctpTMiGui,5104,77357.74,3011,tGdbExcLUnsEiqLeTFft
2000-01-28,MFeToTwWBJMPYuxQoXpT,qeJBGcyiJLldbXJwheRm,pWqNeLAsTDXkKQPirhdi,2335,43504.62,5472,PfZhqcgTHDAWfygEnOCX
2018-02-12,vUnxVReLFFJsiQjECtsr,LPIlqYPIRmkOchYSbOvl,WiGcvsNzWqHyHyPpMfQM,6310,76809.36,2558,sEMPLLztoPxIKJPclhYT
1997-09-26,YsEoKyxbZbfWqJnCjKqE,jFPqXUlWzIosIBKdSCvN,AlAItyRZzbqueTvlvxPv,4158,27949.88,8296,ePZmQVVEHnVTjmQOuqvh
2022-08-10,nBTxmWPnopEANoTAvXpE,XqSHnHYFFpnerNvuFQIt,fgxFoVaPOEBkBtULVGUB,7,28649.3,2512,BHCfgqYRdrgLULRyIaqn
